category,metric,value,population,daily_screen_hours,study,year,source_type,url
Myopia,Odds ratio for myopia (nonlinear dose-response),1.00,"Children/adolescents, pooled (n=314910, 34 studies)",0,"Ha A, et al. Digital Screen Time and Myopia: A Systematic Review and Dose-Response Meta-Analysis. JAMA Network Open",2025,Peer-reviewed meta-analysis,https://pubmed.ncbi.nlm.nih.gov/39982728/
Myopia,Odds ratio for myopia (nonlinear dose-response),1.05,"Children/adolescents, pooled (n=314910, 34 studies)",1,"Ha A, et al. Digital Screen Time and Myopia: A Systematic Review and Dose-Response Meta-Analysis. JAMA Network Open",2025,Peer-reviewed meta-analysis,https://pubmed.ncbi.nlm.nih.gov/39982728/
Myopia,Odds ratio for myopia (nonlinear dose-response),1.97,"Children/adolescents, pooled (n=314910, 34 studies)",4,"Ha A, et al. Digital Screen Time and Myopia: A Systematic Review and Dose-Response Meta-Analysis. JAMA Network Open",2025,Peer-reviewed meta-analysis,https://pubmed.ncbi.nlm.nih.gov/39982728/
Myopia,Odds ratio per additional hour/day (linear dose-response model),1.21,"Children/adolescents, pooled (n=335524, 45 studies)",per_hour,"Ha A, et al. Digital Screen Time and Myopia: A Systematic Review and Dose-Response Meta-Analysis. JAMA Network Open",2025,Peer-reviewed meta-analysis,https://pubmed.ncbi.nlm.nih.gov/39982728/
Myopia,Odds ratio for myopia (smart device use alone),1.26,Children/adolescents (prior pooled meta-analysis cited within Ha et al. 2025),NA,"Meta-analysis cited in Ha et al. 2025 (smart device screen time alone)",2025,Peer-reviewed meta-analysis (secondary citation),https://pubmed.ncbi.nlm.nih.gov/39982728/
Myopia,Reduced myopia risk per additional hour/week outdoors,0.98,Children (systematic review, Cambridge),NA,"University of Cambridge systematic review on outdoor time and myopia",2019,Peer-reviewed systematic review (secondary citation),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6678505/
Digital Eye Strain,DES prevalence,51.5,"Adolescent schoolchildren, Chengalpattu, India (n=546)",6.7,"Prevalence of Digital Eye Strain During the COVID-19 Pandemic Among Adolescent Schoolchildren in Chengalpattu District",2024,Peer-reviewed cross-sectional study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12790465/
Digital Eye Strain,Percent of children with screen time >5 h/day during lockdown,93,"Adolescent schoolchildren, Chengalpattu, India (n=546)",5,"Prevalence of Digital Eye Strain During the COVID-19 Pandemic Among Adolescent Schoolchildren in Chengalpattu District",2024,Peer-reviewed cross-sectional study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12790465/
Digital Eye Strain,DES prevalence (CVS-Q score >=6),51.6,"Older adults, device users",4,"Digital eye strain and clinical correlates in older adults",2024,Peer-reviewed cross-sectional study,https://www.sciencedirect.com/science/article/pii/S136704842400242X
Digital Eye Strain,Self-reported DES symptoms,71,"Older adults, device users",4,"Digital eye strain and clinical correlates in older adults",2024,Peer-reviewed cross-sectional study,https://www.sciencedirect.com/science/article/pii/S136704842400242X
Digital Eye Strain,CVS symptom prevalence,76.1,"University undergraduates, Riyadh, Saudi Arabia (n=634)",5,"The Prevalence and Knowledge of Digital Eye Strain Among the Undergraduates in Riyadh, Saudi Arabia",2023,Peer-reviewed cross-sectional study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10156438/
Digital Eye Strain,Percent of students using devices >=5 h/day,84.6,"University undergraduates, Riyadh, Saudi Arabia (n=634)",5,"The Prevalence and Knowledge of Digital Eye Strain Among the Undergraduates in Riyadh, Saudi Arabia",2023,Peer-reviewed cross-sectional study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10156438/
Digital Eye Strain,Odds ratio for DES with >4 h/day device use,1.73,"Nursing students, Peru (n=796)",4,"Digital Eye Strain among Peruvian Nursing Students: Prevalence and Associated Factors",2023,Peer-reviewed cross-sectional study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10048894/
Digital Eye Strain,Adults reporting DES symptoms (general population),65,"U.S. adults (general population)",7,"The Impact of Screen Time on Vision: 2025 Statistics & Trends - Vision Center",2025,Industry/consumer health summary (secondary source),https://www.visioncenter.org/resources/screen-time-statistics/
Digital Eye Strain,Office workers reporting DES symptoms,68,"U.S. office workers",NA,"The Impact of Screen Time on Vision: 2025 Statistics & Trends - Vision Center",2025,Industry/consumer health summary (secondary source),https://www.visioncenter.org/resources/screen-time-statistics/
Digital Eye Strain,Youth (10-17) reporting eye discomfort with extended device use,80,"U.S. children/teens, ages 10-17",NA,"The Impact of Screen Time on Vision: 2025 Statistics & Trends - Vision Center",2025,Industry/consumer health summary (secondary source),https://www.visioncenter.org/resources/screen-time-statistics/
Digital Eye Strain,Working-age Americans exceeding 7 h/day screen viewing,104000000,"U.S. working-age adults",7,"The Impact of Unmanaged Excessive Screen Time in the United States (AOA-commissioned report)",2023,Industry report (professional association),https://www.aoa.org/AOA/Documents/Eye%20Deserve%20More/Cost%20of%20Unmanaged%20Screen%20Time%20Report_FINAL.pdf
Digital Eye Strain,Adults reporting DES symptoms weekly or more,69,"U.S. adults, ages 18-44, vision-corrected (n=750 survey)",6,"CooperVision Research Reveals U.S. Screen Time and Digital Eye Strain Continue to Rise",2024,Industry survey (manufacturer-commissioned),https://coopervision.com/our-company/news-center/press-release/coopervision-research-reveals-us-screen-time-and-digital-eye
Blink Rate,Baseline resting/reading blink rate,15,"General population (spontaneous, non-task)",NA,"Aggregated in: How Much Does Blink Rate Decrease During Screen Time? / Digital Screen Time and Dry Eye (patient education summaries)",2025,Consumer health summary (secondary source),https://www.lens.com/questions-answered/how-much-does-blink-rate-decrease-during-screen-time/
Blink Rate,Blink rate during intense screen focus (commonly cited range),6,"General population",NA,"Aggregated in: How Much Does Blink Rate Decrease During Screen Time? / Digital Screen Time and Dry Eye (patient education summaries)",2025,Consumer health summary (secondary source),https://www.lens.com/questions-answered/how-much-does-blink-rate-decrease-during-screen-time/
Blink Rate,Mean blink rate - computer reading task (controlled study),14.9,"Adults, controlled lab study (n=25)",NA,"Blink patterns: reading from a computer screen versus hard copy - Rosenfield et al.",2013,Peer-reviewed controlled experimental study,https://pubmed.ncbi.nlm.nih.gov/24413278/
Blink Rate,Mean blink rate - hard copy reading task (controlled study),13.6,"Adults, controlled lab study (n=25)",NA,"Blink patterns: reading from a computer screen versus hard copy - Rosenfield et al.",2013,Peer-reviewed controlled experimental study,https://pubmed.ncbi.nlm.nih.gov/24413278/
Blink Rate,Percent incomplete blinks - computer task,7.02,"Adults, controlled lab study (n=25)",NA,"Blink patterns: reading from a computer screen versus hard copy - Rosenfield et al.",2013,Peer-reviewed controlled experimental study,https://pubmed.ncbi.nlm.nih.gov/24413278/
Blink Rate,Percent incomplete blinks - hard copy task,4.33,"Adults, controlled lab study (n=25)",NA,"Blink patterns: reading from a computer screen versus hard copy - Rosenfield et al.",2013,Peer-reviewed controlled experimental study,https://pubmed.ncbi.nlm.nih.gov/24413278/
Blink Rate,Spontaneous blink rate baseline (camera-tracked pilot study),43.1,"Adults, pilot study (n=20)",NA,"Intelligent Standalone Eye Blinking Monitoring System for Computer Users",2024,Peer-reviewed pilot study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11744486/
Blink Rate,Blink rate while watching video / reading on computer,24.7,"Adults, pilot study (n=20), average of two on-screen tasks",NA,"Intelligent Standalone Eye Blinking Monitoring System for Computer Users",2024,Peer-reviewed pilot study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11744486/
Sleep/Circadian,Relative melatonin suppression duration - blue vs green light exposure,2,"Adults, controlled lab study (Harvard)",6.5,"Blue light has a dark side - Harvard Health (summarizing Harvard/Brigham & Women's study)",2024,Peer-reviewed study summary (university health publication),https://www.health.harvard.edu/staying-healthy/blue-light-has-a-dark-side
Sleep/Circadian,Relative circadian rhythm shift - blue vs green light exposure (hours),3,"Adults, controlled lab study (Harvard)",6.5,"Blue light has a dark side - Harvard Health (summarizing Harvard/Brigham & Women's study)",2024,Peer-reviewed study summary (university health publication),https://www.health.harvard.edu/staying-healthy/blue-light-has-a-dark-side
Screen Time Exposure,Average daily screen time - children ages 8-12 (excl. schoolwork),5.5,"U.S. children, ages 8-12",5.5,"The Impact of Screen Time on Vision: 2025 Statistics & Trends - Vision Center",2025,Industry/consumer health summary (secondary source),https://www.visioncenter.org/resources/screen-time-statistics/
